,Unnamed: 0,filename,label,custom_model_response,custom_model_label,custom_model_confidence,custom_model_quality,image_name_x,aws_labels,image_name_y,aws_custom_labels,image_name,google_moderation_labels
10,10,Suggestive/dreamstimemaximum_140720311.jpg,suggestive,"[{'Name': 'suggestive', 'Confidence': 75.3030014038086}]",['suggestive'],[75.3030014038086],TP,Suggestive/dreamstimemaximum_140720311.jpg,"[{name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Female Breast"", ""parent_name"": ""Non-Explicit Nudity""}]""",Suggestive/dreamstimemaximum_140720311.jpg,"[{""Name"": ""slightly_suggestive"", ""Confidence"": 91.65499877929688}, {""Name"": ""lingerie "", ""Confidence"": 91.48500061035156}, {""Name"": ""pregnancy_visible"", ""Confidence"": 75.30400085449219}, {""Name"": ""suggestive"", ""Confidence"": 68.53700256347656}, {""Name"": ""photography"", ""Confidence"": 60.000003814697266}, {""Name"": ""artistic_context"", ""Confidence"": 60.000003814697266}]",Suggestive/dreamstimemaximum_140720311.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
11,11,Suggestive/dreamstimemaximum_113797033.jpg,suggestive,"[{'Name': 'suggestive', 'Confidence': 92.46800231933594}]",['suggestive'],[92.46800231933594],TP,Suggestive/dreamstimemaximum_113797033.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}, {""name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Female Breast"", ""parent_name"": ""Non-Explicit Nudity""}]""",Suggestive/dreamstimemaximum_113797033.jpg,"[{""Name"": ""photography"", ""Confidence"": 88.63300323486328}, {""Name"": ""artistic_context"", ""Confidence"": 88.63300323486328}, {""Name"": ""pregnancy_visible"", ""Confidence"": 64.59500122070312}, {""Name"": ""suggestive"", ""Confidence"": 62.19000244140625}, {""Name"": ""lingerie "", ""Confidence"": 60.000003814697266}, {""Name"": ""slightly_suggestive"", ""Confidence"": 60.000003814697266}, {""Name"": ""non_suggestive"", ""Confidence"": 55.48999786376953}, {""Name"": ""underwear_visible"", ""Confidence"": 52.86300277709961}, {""Name"": ""health_context"", ""Confidence"": 51.432003021240234}]",Suggestive/dreamstimemaximum_113797033.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
12,12,Suggestive/dreamstimemaximum_96835820.jpg,suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.25}]",['non_suggestive'],[99.25],FN,Suggestive/dreamstimemaximum_96835820.jpg,"[{name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Buttocks"", ""parent_name"": ""Non-Explicit Nudity""}, {""name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]""",Suggestive/dreamstimemaximum_96835820.jpg,"[{""Name"": ""swimsuit"", ""Confidence"": 80.25299835205078}, {""Name"": ""pregnancy_visible"", ""Confidence"": 70.54399871826172}, {""Name"": ""non_suggestive"", ""Confidence"": 64.92000579833984}, {""Name"": ""suggestive"", ""Confidence"": 55.058998107910156}]",Suggestive/dreamstimemaximum_96835820.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""POSSIBLE"", ""spoofed"": ""UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
13,13,WomensHealthGeneral/dreamstimemaximum_331439279.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 97.61199951171875}]",['non_suggestive'],[97.61199951171875],TN,WomensHealthGeneral/dreamstimemaximum_331439279.jpg,[],WomensHealthGeneral/dreamstimemaximum_331439279.jpg,"[{""Name"": ""health_context"", ""Confidence"": 82.34400177001953}, {""Name"": ""non_suggestive"", ""Confidence"": 80.43399810791016}]",WomensHealthGeneral/dreamstimemaximum_331439279.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""VERY_UNLIKELY"", ""spoofed"": ""UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""LIKELY""}"
14,14,WomensHealthGeneral/dreamstimemaximum_165473986.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 97.8010025024414}]",['non_suggestive'],[97.8010025024414],TN,WomensHealthGeneral/dreamstimemaximum_165473986.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}, {""name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Buttocks"", ""parent_name"": ""Non-Explicit Nudity""}]""",WomensHealthGeneral/dreamstimemaximum_165473986.jpg,"[{""Name"": ""swimsuit"", ""Confidence"": 92.6760025024414}, {""Name"": ""non_suggestive"", ""Confidence"": 92.08399963378906}, {""Name"": ""slightly_suggestive"", ""Confidence"": 56.47800064086914}, {""Name"": ""lingerie "", ""Confidence"": 56.1150016784668}, {""Name"": ""health_context"", ""Confidence"": 55.34600067138672}, {""Name"": ""artistic_context"", ""Confidence"": 54.43099594116211}, {""Name"": ""photography"", ""Confidence"": 54.43099594116211}, {""Name"": ""pregnancy_visible"", ""Confidence"": 53.7339973449707}]",WomensHealthGeneral/dreamstimemaximum_165473986.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
15,15,WomensHealthGeneral/dreamstimemaximum_148999817.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.83499908447266}]",['non_suggestive'],[99.83499908447266],TN,WomensHealthGeneral/dreamstimemaximum_148999817.jpg,[],WomensHealthGeneral/dreamstimemaximum_148999817.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 95.74099731445312}, {""Name"": ""health_context"", ""Confidence"": 93.92300415039062}]",WomensHealthGeneral/dreamstimemaximum_148999817.jpg,"{""adult"": ""VERY_UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""LIKELY""}"
16,16,WomensHealthGeneral/dreamstimemaximum_148035283.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 94.64300537109375}]",['non_suggestive'],[94.64300537109375],TN,WomensHealthGeneral/dreamstimemaximum_148035283.jpg,[],WomensHealthGeneral/dreamstimemaximum_148035283.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 92.9229965209961}, {""Name"": ""health_context"", ""Confidence"": 80.38500213623047}, {""Name"": ""swimsuit"", ""Confidence"": 51.1150016784668}]",WomensHealthGeneral/dreamstimemaximum_148035283.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""VERY_UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
17,17,WomensHealthGeneral/dreamstimemaximum_147152548.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.72000122070312}]",['non_suggestive'],[99.72000122070312],TN,WomensHealthGeneral/dreamstimemaximum_147152548.jpg,[],WomensHealthGeneral/dreamstimemaximum_147152548.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 96.23400115966797}, {""Name"": ""health_context"", ""Confidence"": 91.36399841308594}]",WomensHealthGeneral/dreamstimemaximum_147152548.jpg,"{""adult"": ""VERY_UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""POSSIBLE""}"
18,18,WomensHealthGeneral/dreamstimemaximum_121070767.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 93.47599792480469}]",['non_suggestive'],[93.47599792480469],TN,WomensHealthGeneral/dreamstimemaximum_121070767.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]""",WomensHealthGeneral/dreamstimemaximum_121070767.jpg,"[{""Name"": ""underwear_visible"", ""Confidence"": 70.38499450683594}, {""Name"": ""non_suggestive"", ""Confidence"": 65.06199645996094}, {""Name"": ""health_context"", ""Confidence"": 64.24400329589844}, {""Name"": ""pregnancy_visible"", ""Confidence"": 61.926002502441406}, {""Name"": ""pregant_belly_exposed"", ""Confidence"": 55.935001373291016}, {""Name"": ""suggestive"", ""Confidence"": 54.959999084472656}]",WomensHealthGeneral/dreamstimemaximum_121070767.jpg,"{""adult"": ""POSSIBLE"", ""medical"": ""LIKELY"", ""spoofed"": ""UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
19,19,WomensHealthGeneral/dreamstimemaximum_115683068.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 88.71099853515625}]",['non_suggestive'],[88.71099853515625],TN,WomensHealthGeneral/dreamstimemaximum_115683068.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]""",WomensHealthGeneral/dreamstimemaximum_115683068.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 89.92900085449219}, {""Name"": ""health_context"", ""Confidence"": 80.0530014038086}, {""Name"": ""breast_exam"", ""Confidence"": 71.23500061035156}, {""Name"": ""pregnancy_visible"", ""Confidence"": 61.317996978759766}]",WomensHealthGeneral/dreamstimemaximum_115683068.jpg,"{""adult"": ""LIKELY"", ""medical"": ""VERY_LIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
20,20,WomensHealthGeneral/dreamstimemaximum_97457146.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 85.12699890136719}]",['non_suggestive'],[85.12699890136719],TN,WomensHealthGeneral/dreamstimemaximum_97457146.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}, {""name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Buttocks"", ""parent_name"": ""Non-Explicit Nudity""}]""",WomensHealthGeneral/dreamstimemaximum_97457146.jpg,"[{""Name"": ""suggestive"", ""Confidence"": 72.8699951171875}, {""Name"": ""health_context"", ""Confidence"": 61.96600341796875}, {""Name"": ""underwear_visible"", ""Confidence"": 56.73999786376953}, {""Name"": ""pregnancy_visible"", ""Confidence"": 56.18299865722656}, {""Name"": ""pregant_belly_exposed"", ""Confidence"": 52.454002380371094}]",WomensHealthGeneral/dreamstimemaximum_97457146.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""VERY_LIKELY"", ""spoofed"": ""UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
21,21,WomensHealthGeneral/dreamstimemaximum_20682371.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 83.28400421142578}]",['non_suggestive'],[83.28400421142578],TN,WomensHealthGeneral/dreamstimemaximum_20682371.jpg,[],WomensHealthGeneral/dreamstimemaximum_20682371.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 88.46700286865234}, {""Name"": ""health_context"", ""Confidence"": 67.2969970703125}]",WomensHealthGeneral/dreamstimemaximum_20682371.jpg,"{""adult"": ""VERY_UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""UNLIKELY""}"
22,22,PregnantNonSuggestive/tracy-truhan-U5Jc1Cfz228-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 98.85200500488281}]",['non_suggestive'],[98.85200500488281],TN,PregnantNonSuggestive/tracy-truhan-U5Jc1Cfz228-unsplash.jpg,[],PregnantNonSuggestive/tracy-truhan-U5Jc1Cfz228-unsplash.jpg,"[{""Name"": ""pregnancy_visible"", ""Confidence"": 90.44599914550781}, {""Name"": ""non_suggestive"", ""Confidence"": 66.51800537109375}, {""Name"": ""suggestive"", ""Confidence"": 53.939002990722656}]",PregnantNonSuggestive/tracy-truhan-U5Jc1Cfz228-unsplash.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""VERY_UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""POSSIBLE""}"
23,23,PregnantNonSuggestive/tony-luginsland-rqCP3-1Apas-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 79.25199890136719}]",['non_suggestive'],[79.25199890136719],TN,PregnantNonSuggestive/tony-luginsland-rqCP3-1Apas-unsplash.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]""",PregnantNonSuggestive/tony-luginsland-rqCP3-1Apas-unsplash.jpg,"[{""Name"": ""pregnancy_visible"", ""Confidence"": 95.12300109863281}, {""Name"": ""non_suggestive"", ""Confidence"": 71.73400115966797}, {""Name"": ""artistic_context"", ""Confidence"": 55.65500259399414}, {""Name"": ""photography"", ""Confidence"": 55.65500259399414}, {""Name"": ""slightly_suggestive"", ""Confidence"": 54.26700210571289}, {""Name"": ""lingerie "", ""Confidence"": 53.76700210571289}, {""Name"": ""swimsuit"", ""Confidence"": 52.39899826049805}, {""Name"": ""suggestive"", ""Confidence"": 50.051998138427734}]",PregnantNonSuggestive/tony-luginsland-rqCP3-1Apas-unsplash.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""VERY_LIKELY""}"
24,24,PregnantNonSuggestive/toa-heftiba-cHmKxSne48k-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 89.41799926757812}]",['non_suggestive'],[89.41799926757812],TN,PregnantNonSuggestive/toa-heftiba-cHmKxSne48k-unsplash.jpg,[],PregnantNonSuggestive/toa-heftiba-cHmKxSne48k-unsplash.jpg,"[{""Name"": ""pregnancy_visible"", ""Confidence"": 90.625}, {""Name"": ""non_suggestive"", ""Confidence"": 76.54899597167969}]",PregnantNonSuggestive/toa-heftiba-cHmKxSne48k-unsplash.jpg,"{""adult"": ""POSSIBLE"", ""medical"": ""VERY_UNLIKELY"", ""spoofed"": ""UNLIKELY"", ""violence"": ""POSSIBLE"", ""racy"": ""VERY_LIKELY""}"
25,25,PregnantNonSuggestive/thiago-ferreira-HwFm1MNKzXg-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 94.63199615478516}]",['non_suggestive'],[94.63199615478516],TN,PregnantNonSuggestive/thiago-ferreira-HwFm1MNKzXg-unsplash.jpg,[],PregnantNonSuggestive/thiago-ferreira-HwFm1MNKzXg-unsplash.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 86.11199951171875}, {""Name"": ""artistic_context"", ""Confidence"": 72.52200317382812}, {""Name"": ""photography"", ""Confidence"": 72.5199966430664}, {""Name"": ""pregnancy_visible"", ""Confidence"": 60.000003814697266}, {""Name"": ""lingerie "", ""Confidence"": 55.402000427246094}, {""Name"": ""swimsuit"", ""Confidence"": 54.272003173828125}]",PregnantNonSuggestive/thiago-ferreira-HwFm1MNKzXg-unsplash.jpg,"{""adult"": ""VERY_UNLIKELY"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""POSSIBLE""}"
26,26,PregnantNonSuggestive/sierra-koder-18fVqLZ7Ghw-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.89299774169922}]",['non_suggestive'],[99.89299774169922],TN,PregnantNonSuggestive/sierra-koder-18fVqLZ7Ghw-unsplash.jpg,[],PregnantNonSuggestive/sierra-koder-18fVqLZ7Ghw-unsplash.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 89.0260009765625}, {""Name"": ""pregnancy_visible"", ""Confidence"": 69.92499542236328}]",PregnantNonSuggestive/sierra-koder-18fVqLZ7Ghw-unsplash.jpg,"{""adult"": ""POSSIBLE"", ""medical"": ""UNLIKELY"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""UNLIKELY"", ""racy"": ""LIKELY""}"
27,27,PregnantNonSuggestive/rene-porter-LagGwBSSElY-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 93.46699523925781}]",['non_suggestive'],[93.46699523925781],TN,PregnantNonSuggestive/rene-porter-LagGwBSSElY-unsplash.jpg,[],PregnantNonSuggestive/rene-porter-LagGwBSSElY-unsplash.jpg,"[{""Name"": ""non_suggestive"", ""Confidence"": 89.51200103759766}, {""Name"": ""pregnancy_visible"", ""Confidence"": 89.26699829101562}, {""Name"": ""nipple_exposed"", ""Confidence"": 58.04100036621094}]",PregnantNonSuggestive/rene-porter-LagGwBSSElY-unsplash.jpg,"{""adult"": ""UNLIKELY"", ""medical"": ""POSSIBLE"", ""spoofed"": ""VERY_UNLIKELY"", ""violence"": ""VERY_UNLIKELY"", ""racy"": ""POSSIBLE""}"
